kata name,developer,kata rank,publish date,total stars,no. collections kata part of,times attempted,times skipped,total code submissions,total times completed,total times completed (P),percentage of votes with positive feedback [%],total votes,total very satisfied,total somewhat satisfied,total not satisfied,total rank assessment,average assessed rank,highest assessed rank,lowest assessed rank,tags
Point in Polygon,osuushi,6 kyu,"Feb 21, 2014",198,29,3806,1153,13461,1253,"1,052",93,192,166,24,2,,,,,"Algorithms, Geometry, Algebra, Mathematics, Numbers"
Alternate case,wichu,7 kyu,"Aug 6, 2016",69,17,7889,477,13244,5269,160,89,867,694,158,15,8.0,7 kyu,7 kyu,8 kyu,Fundamentals
Drink about,darlanmendonca,8 kyu,"Oct 9, 2015",82,35,18161,341,38319,13702,"5,856",89,1403,1122,247,34,,,,,"Fundamentals, Conditional, Statements, Control, Flow, Basic, Language, Features"
Well of Ideas - Harder Version,PG1,7 kyu,"Oct 3, 2016",28,17,2789,45,8986,1695,976,91,331,276,49,6,9.0,7 kyu,7 kyu,7 kyu,"Fundamentals, Arrays, Objects, Strings"
Some Egyptian fractions,g964,5 kyu,"Mar 5, 2015",288,52,12824,4670,25701,1676,51,86,322,251,56,15,,,,,Fundamentals
Rainfall,g964,6 kyu,"Jan 23, 2016",568,77,30217,10134,75401,5029,233,84,929,681,207,41,,,,,"Fundamentals, Strings"
Narcissistic Numbers ,Staples,7 kyu,"Feb 4, 2016",31,11,3543,33,6976,2463,"1,207",93,459,401,49,9,16.0,7 kyu,5 kyu,8 kyu,Fundamentals
Moduli number system,g964,6 kyu,"Feb 11, 2015",67,11,6246,2034,9163,1308,222,88,232,186,36,10,,,,,"Fundamentals, Numbers"
Irreducible Sum of Rationals,g964,6 kyu,"Mar 29, 2015",164,29,9736,2689,21631,2476,108,88,424,336,70,18,,,,,Fundamentals
Paul's Misery,PG1,7 kyu,"Sep 30, 2016",14,7,2602,39,5549,1776,843,84,294,216,61,17,14.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Arrays"
The Office III - Broken Photocopier,PG1,7 kyu,"Sep 29, 2016",14,12,2878,23,4560,2225,924,92,448,384,58,6,9.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings, Arrays"
The Office IV - Find a Meeting Room,PG1,7 kyu,"Oct 6, 2016",18,12,3319,36,6392,2685,"1,255",92,583,499,70,14,30.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Arrays"
Cat and Mouse - Easy Version,PG1,7 kyu,"Sep 30, 2016",30,15,5968,183,13818,4550,"1,897",86,837,645,153,39,28.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings"
Slaphead,PG1,7 kyu,"Oct 1, 2016",18,7,2531,20,6337,1695,687,89,344,280,54,10,8.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings, Arrays"
Help your granny!,g964,5 kyu,"Apr 21, 2015",377,44,18221,7862,30333,2564,198,77,420,273,102,45,,,,,"Fundamentals, Mathematics, Algorithms, Numbers"
Socialist distribution (performance edition),FArekkusu,5 kyu,"Nov 17, 2019",5,2,284,22,412,23,23,88,8,7,0,1,4.0,5 kyu,5 kyu,6 kyu,"Algorithms, Performance"
The Millionth Fibonacci Kata,xcthulhu,3 kyu,"Jul 26, 2014",981,170,21826,5105,127794,6151,"3,642",89,930,769,123,38,,,,,"Algorithms, Mathematics, Numbers"
Max sum between two negatives,Palkin_Fedor,7 kyu,"Apr 5, 2021",16,5,1469,28,3589,446,319,85,130,98,25,7,11.0,7 kyu,6 kyu,8 kyu,Algorithms
Holiday VIII - Duty Free,PG1,8 kyu,"Sep 26, 2016",89,3,19996,484,34348,13125,"5,209",86,1789,1364,339,86,13.0,7 kyu,2 kyu,8 kyu,"Fundamentals, Numbers, Mathematics, Algorithms"
The Office VI - Sabbatical,PG1,7 kyu,"Oct 12, 2016",30,10,3679,67,9375,2053,949,88,385,304,68,13,14.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings, Arrays, Numbers, Mathematics, Algorithms"
Handshake problem,Laurynas Lazauskas,6 kyu,"Jun 7, 2015",42,8,2490,76,4565,1020,62,88,212,173,26,13,29.0,6 kyu,5 kyu,8 kyu,Algorithms
Reversing a Process,g964,6 kyu,"Oct 21, 2019",177,36,5825,227,9202,1301,533,88,244,201,29,14,7.0,6 kyu,5 kyu,8 kyu,Fundamentals
Bumps in the Road,PG1,7 kyu,"Sep 29, 2016",32,23,7033,396,17261,5574,"1,732",91,944,792,140,12,16.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings"
Inside Out Strings,PG1,6 kyu,"Sep 28, 2016",51,7,2002,47,4107,944,467,94,239,211,26,2,8.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Strings, Arrays"
Highest Scoring Word,PG1,6 kyu,"Sep 28, 2016",1106,256,73715,12298,184746,35976,"10,623",91,4444,3697,675,72,10.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Strings, Arrays, Numbers"
Array Appender,zanuka,7 kyu,"Jun 23, 2014",16,3,2486,176,3095,1955,"1,760",86,188,148,28,12,,,,,"Fundamentals, Arrays"
Pre-FizzBuzz Workout #1,MichaelCPell,8 kyu,"Jan 19, 2016",80,23,13294,309,21191,10249,936,90,1495,1237,225,33,,,,,Fundamentals
Price of Mangoes,AartiK1,8 kyu,"Aug 7, 2016",76,18,10139,585,33110,6173,"2,189",88,1163,925,201,37,,,,,Fundamentals
Credit Card Mask,samranjbari,7 kyu,"Sep 16, 2014",845,152,158740,12869,271378,81851,"32,291",89,10280,8232,1914,134,,,,,"Algorithms, Utilities, Strings"
Strings Mix,g964,4 kyu,"Oct 23, 2015",1506,243,47039,15780,116804,12714,626,87,2127,1657,366,104,,,,,"Fundamentals, Strings"
Currying functions: multiply all elements in an array,limeyb7,7 kyu,"Jan 1, 2017",83,42,10632,170,19328,7217,"6,223",93,725,639,75,11,12.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Closures, Basic, Language, Features, Functional, Programming, Declarative, Programming"
Swap Values,dnolan,8 kyu,"May 30, 2014",132,31,20497,493,34091,11818,"5,493",84,1394,1025,283,86,,,,,"Bugs, Arrays, Fundamentals"
Enumerable Magic #20 - Cascading Subsets,bellmyer,8 kyu,"Nov 6, 2014",23,8,1814,139,3848,917,619,89,213,176,27,10,61.0,7 kyu,5 kyu,8 kyu,Fundamentals
Assembler interpreter (part II),ShinuToki,2 kyu,"Apr 6, 2017",469,122,5526,1032,11696,1446,530,98,411,395,12,4,5.0,2 kyu,2 kyu,4 kyu,"Refactoring, Interpreters, Algorithms"
Number of Rectangles in a Grid,pj6444,7 kyu,"Jun 1, 2015",77,10,5889,800,5519,2451,717,83,206,152,36,18,,,,,"Puzzles, Geometry, Algebra, Mathematics, Algorithms, Games"
Playing on a chessboard,g964,6 kyu,"Jul 19, 2015",361,51,22752,8844,22302,3254,130,84,604,450,120,34,,,,,"Fundamentals, Puzzles, Games"
Tortoise racing,g964,6 kyu,"Aug 30, 2015",963,150,70505,20017,261683,20647,924,69,3213,1731,955,527,,,,,Fundamentals
Filter out the geese,stevehopkinson,8 kyu,"Sep 30, 2016",175,58,21579,362,38911,14549,"7,959",92,2044,1736,274,34,10.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Higher, Functions, Functions, Control, Flow, Basic, Language, Features, Arrays"
"Your order, please",iamstone,6 kyu,"Aug 7, 2015",1986,399,166582,25958,312056,75987,"27,931",91,9300,7674,1497,129,,,,,"Fundamentals, Strings"
Going to the cinema,g964,7 kyu,"Oct 27, 2015",302,48,20668,2320,80106,6475,215,80,1132,778,256,98,,,,,Fundamentals
Euler's method for a first-order ODE,g964,5 kyu,"Oct 31, 2015",123,40,4167,1329,2881,488,14,75,104,63,31,10,10.0,5 kyu,3 kyu,7 kyu,Algorithms
Primes in numbers,g964,5 kyu,"Feb 6, 2015",1161,240,59865,22694,89034,15260,"2,448",90,1976,1623,312,41,,,,,"Fundamentals, Numbers, Mathematics, Algorithms, Utilities"
"Are they the ""same""?",g964,6 kyu,"Mar 14, 2015",2120,268,160504,35335,1103429,51079,"2,605",76,6832,4288,1787,757,,,,,Fundamentals
Generate range of integers,XxxX88,8 kyu,"Sep 6, 2015",182,44,20849,239,47279,14029,"10,361",92,1821,1567,232,22,,,,,Algorithms
Integers: Recreation One,g964,5 kyu,"Jul 18, 2015",1349,254,58739,20305,82569,15511,398,88,2184,1726,385,73,,,,,"Fundamentals, Algorithms, Optimization"
Magic The Gathering #1: Creatures,NateBrady23,6 kyu,"Dec 23, 2015",48,10,1075,37,5682,486,227,96,118,109,9,0,11.0,6 kyu,5 kyu,7 kyu,"Algorithms, Fundamentals, Arrays, Games"
Build a pile of Cubes,g964,6 kyu,"Jun 30, 2015",1745,235,159156,42275,227140,48208,"3,174",86,6102,4567,1341,194,34.0,6 kyu,4 kyu,8 kyu,"Fundamentals, Optimization"
Help the bookseller !,g964,6 kyu,"Feb 12, 2015",711,139,51441,14605,114687,14072,"2,239",85,1968,1474,411,83,,,,,"Fundamentals, Algorithms"
Tap Code Translation,The-Kingfisher,7 kyu,"Mar 28, 2021",25,5,1535,31,1737,630,358,89,139,117,14,8,19.0,6 kyu,6 kyu,8 kyu,"Algorithms, Strings, Cryptography, Security"
Factorial decomposition,g964,5 kyu,"Nov 9, 2017",410,106,15379,4650,16974,3555,11,94,655,578,69,8,8.0,5 kyu,5 kyu,7 kyu,Fundamentals
Sums of Parts,g964,6 kyu,"May 21, 2019",474,108,25632,1803,52626,11563,33,92,1536,1311,194,31,11.0,6 kyu,4 kyu,8 kyu,"Algorithms, Fundamentals, Performance"
Poker cards encoder/decoder,thisFeeling,5 kyu,"Jan 31, 2014",64,11,1922,422,6047,835,613,91,121,102,16,3,8.0,5 kyu,4 kyu,6 kyu,"Fundamentals, Strings, Arithmetic, Mathematics, Algorithms, Numbers, Encoding, Decoding"
Complementary DNA,JustyFY,7 kyu,"May 9, 2015",1196,280,190084,22196,287840,100929,"31,467",88,11736,9136,2405,195,,,,,"Fundamentals, Strings"
Square sums (simple),metalim,5 kyu,"Jan 26, 2018",184,54,4054,151,6563,624,232,95,138,124,14,0,3.0,5 kyu,4 kyu,6 kyu,"Algorithms, Mathematics, Numbers"
The Wide-Mouthed frog! ,nbeck,8 kyu,"Sep 29, 2016",48,25,13170,183,37609,10737,686,88,1533,1210,276,47,9.0,8 kyu,8 kyu,8 kyu,"Fundamentals, Strings"
Thinkful - String Drills: Repeater,Grae-Drake,7 kyu,"Dec 21, 2016",59,11,12443,471,21260,10481,"3,676",85,1328,997,260,71,17.0,7 kyu,7 kyu,8 kyu,Fundamentals
 Simple Fun #195: Guess Hat Color,myjinxin2015,7 kyu,"Mar 10, 2017",27,1,1794,31,1784,867,364,81,203,145,39,19,8.0,7 kyu,7 kyu,8 kyu,"Puzzles, Games"
Probability #1 : The Infinite Spinning Wheel,bookdodo,6 kyu,"Mar 26, 2021",17,1,521,15,696,105,28,80,37,23,13,1,6.0,7 kyu,6 kyu,8 kyu,"Puzzles, Mathematics, Algorithms, Numbers, Games"
"Architect's Dream: drawing curves, observing, thinking",g964,6 kyu,"Oct 24, 2019",21,6,559,122,358,66,42,70,25,12,11,2,9.0,6 kyu,4 kyu,8 kyu,Fundamentals
Operations on sequences,g964,5 kyu,"Feb 18, 2020",66,14,1854,149,2257,167,8,93,48,43,3,2,7.0,5 kyu,3 kyu,8 kyu,Fundamentals
Char Code Calculation,PG1,7 kyu,"Oct 7, 2016",79,21,8135,229,16356,5322,"3,270",90,586,483,85,18,9.0,7 kyu,7 kyu,7 kyu,"Fundamentals, Arrays, Strings, Numbers, Mathematics, Algorithms"
Disease Spread,g964,6 kyu,"Dec 7, 2015",224,51,9484,2395,4202,1285,28,88,288,231,46,11,,,,,Fundamentals
Counting sheep...,tfKamran,8 kyu,"Feb 25, 2015",615,172,100142,6402,235517,68581,"26,937",87,7663,5934,1479,250,,,,,"Fundamentals, Arrays"
Sum by Factors,g964,4 kyu,"Feb 6, 2015",900,152,41699,13715,113423,10973,"1,411",90,1529,1259,236,34,,,,,"Algorithms, Numbers, Arrays"
Quarter of the year,Orses,8 kyu,"May 25, 2019",101,16,22572,395,36615,17228,"7,546",91,1634,1377,224,33,144.0,7 kyu,5 kyu,8 kyu,Fundamentals
Thinkful - Number Drills: Congo warehouses,Grae-Drake,7 kyu,"Dec 27, 2016",13,8,1986,24,6683,1476,"1,271",88,193,156,26,11,15.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Numbers"
Number of Divisions,fiskenslakt,7 kyu,"May 10, 2017",16,2,1760,25,2874,1169,521,92,276,234,39,3,21.0,7 kyu,6 kyu,8 kyu,Algorithms
Miles per gallon to kilometers per liter,emporio,8 kyu,"Jun 12, 2015",105,40,12374,250,29681,8198,"3,251",86,1133,876,203,54,,,,,Algorithms
FIXME: Replace all dots,dinglemouse,8 kyu,"Jul 17, 2017",56,35,11933,113,19601,9394,"1,728",89,1441,1149,253,39,8.0,7 kyu,7 kyu,8 kyu,Bugs
"Cat years, Dog years",dinglemouse,8 kyu,"Jan 23, 2018",170,55,19041,753,30507,12164,"2,071",91,1914,1609,270,35,3.0,7 kyu,7 kyu,8 kyu,Fundamentals
Valid string,ryandao,6 kyu,"Feb 6, 2014",70,8,3026,91,16057,618,440,80,130,93,21,16,,,,,"Algorithms, Dictionary, Data, Structures, Strings"
Reversed sequence ,jamad,8 kyu,"Nov 6, 2017",215,73,43117,1822,89394,31610,"8,916",91,3882,3235,573,74,17.0,7 kyu,7 kyu,8 kyu,Fundamentals
Count salutes,AvyJIT,7 kyu,"Mar 24, 2021",32,6,2584,70,2649,1046,495,91,171,146,18,7,22.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Strings"
Count the divisors of a number,tiriana,7 kyu,"Oct 5, 2014",185,66,29252,3425,48410,18913,"6,614",90,2070,1685,339,46,,,,,"Fundamentals, Arithmetic, Mathematics, Algorithms, Numbers"
A Rule of Divisibility by 7,g964,7 kyu,"Sep 2, 2015",307,53,28072,5235,48375,8422,306,85,1207,902,245,60,,,,,Fundamentals
Function Algebra,AvyJIT,5 kyu,"Mar 28, 2021",12,3,262,10,434,54,54,92,25,22,2,1,6.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
A Rule of Divisibility by 13,g964,6 kyu,"Nov 9, 2015",533,120,43561,14223,46695,10455,275,91,1628,1347,257,24,,,,,Fundamentals
Remove exclamation marks,wichu,8 kyu,"Aug 2, 2016",145,62,25494,1150,52158,20055,404,89,2774,2239,459,76,15.0,7 kyu,7 kyu,8 kyu,Fundamentals
Convert number to reversed array of digits,emporio,8 kyu,"Jun 18, 2015",590,149,68335,4451,175947,43519,"17,882",91,4992,4185,716,91,35.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Numbers, Arrays"
Who likes it?,BattleRattle,6 kyu,"Oct 22, 2013",2219,406,250786,29195,464590,128684,"50,937",85,14623,10697,3458,468,,,,,"Fundamentals, Formatting, Algorithms, Strings"
Template Strings,matt c,8 kyu,"Jul 11, 2015",29,8,5180,34,6480,4441,"3,047",85,696,533,119,44,,,,,"Fundamentals, Strings, Babel"
Banker's Plan,g964,6 kyu,"Nov 12, 2015",161,41,9196,1944,40827,2591,81,83,492,345,124,23,13.0,6 kyu,5 kyu,8 kyu,"Algorithms, Mathematics, Numbers"
A Gift Well Spent,bkaes,7 kyu,"Nov 3, 2014",44,13,3366,213,6538,1566,204,91,263,225,30,8,,,,,"Algorithms, Lists, Data, Structures"
Probability to Win an Infinite Tennis Game,polluxCast0r,5 kyu,"Aug 16, 2018",23,2,472,177,165,47,47,94,17,16,0,1,5.0,5 kyu,3 kyu,6 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Pick Until Match,davilla,4 kyu,"Mar 4, 2021",11,2,234,17,78,9,9,100,4,4,0,0,3.0,3 kyu,3 kyu,4 kyu,Algorithms
Ball Upwards,g964,6 kyu,"Dec 12, 2015",291,41,19838,5686,32695,5409,"1,352",79,856,566,212,78,,,,,Fundamentals
Logical calculator,aniametz,8 kyu,"Apr 9, 2016",163,48,12965,355,24251,4594,"2,083",89,796,650,120,26,,,,,"Fundamentals, Arrays"
Reverse a Number,MattWatt,7 kyu,"Jul 2, 2015",79,40,10417,428,25652,7017,"2,793",92,1185,1000,170,15,85.0,7 kyu,6 kyu,8 kyu,"Puzzles, Interview, Questions, Numbers"
Twice linear,g964,4 kyu,"Dec 17, 2015",1823,295,52519,13341,159154,11954,429,89,1871,1515,284,72,,,,,"Algorithms, Numbers, Mathematics"
Simple Fun #176: Reverse Letter,myjinxin2015,7 kyu,"Mar 3, 2017",147,48,21033,2340,54797,13013,"4,157",92,1839,1576,243,20,12.0,7 kyu,7 kyu,8 kyu,Fundamentals
Looking for a benefactor,g964,7 kyu,"Jan 17, 2016",91,19,12302,1910,51701,4878,220,78,804,526,209,69,,,,,"Fundamentals, Arithmetic, Mathematics, Algorithms, Numbers"
Maximum Product ,MrZizoScream,7 kyu,"Dec 25, 2017",71,45,11509,727,20787,7446,603,91,1113,938,158,17,14.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Numbers, Basic, Language, Features, Arrays"
Almost Isosceles Integer Triangles With Their Angles With Asymptotic Tendency,raulbc777,5 kyu,"Nov 9, 2018",7,0,466,177,221,25,18,100,11,11,0,0,8.0,5 kyu,4 kyu,7 kyu,"Fundamentals, Algorithms, Performance, Numbers, Arithmetic, Mathematics, Recursion, Computability, Theory, Theoretical, Computer, Science, Geometry, Algebra"
Consecutive strings,g964,6 kyu,"Jan 25, 2016",1982,282,146408,36075,342623,40442,"1,846",84,5619,4093,1254,272,,,,,Fundamentals
Rearrange Number to Get its Maximum,Fosna,7 kyu,"Nov 3, 2015",36,12,3513,40,14299,2228,"1,440",86,374,289,62,23,,,,,"Fundamentals, Arithmetic, Mathematics, Algorithms, Numbers, Control, Flow, Basic, Language, Features, Integers"
Magnet particules in boxes,g964,4 kyu,"Feb 14, 2016",322,62,18004,7656,19152,4410,84,67,857,427,287,143,,,,,"Algorithms, Optimization, Mathematics, Numbers, Graphs, Data, Structures"
1/n- Cycle,g964,6 kyu,"Nov 10, 2017",198,45,7896,994,10489,1298,6,87,278,224,34,20,3.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Lario and Muigi Pipe Problem,LiamSorta,8 kyu,"Feb 4, 2016",147,32,16575,307,27998,10886,"4,513",91,1388,1168,188,32,,,,,"Fundamentals, Loops, Control, Flow, Basic, Language, Features, Lists, Data, Structures, Objects"
Sections,g964,5 kyu,"Oct 12, 2019",119,25,5475,635,4059,412,157,89,87,73,9,5,4.0,6 kyu,5 kyu,8 kyu,Fundamentals
Olympic Rings,PG1,7 kyu,"Sep 7, 2016",12,-5,1915,28,5400,920,366,82,211,153,42,16,12.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Arrays, Strings"
Stones on the Table,LogicalX,7 kyu,"Sep 27, 2020",54,16,5128,68,5513,2728,"1,283",91,329,278,44,7,19.0,7 kyu,6 kyu,8 kyu,Fundamentals
Prize Draw,g964,6 kyu,"Oct 8, 2015",434,86,21246,5719,76992,4156,174,82,814,591,156,67,,,,,"Fundamentals, Strings, Sorting, Algorithms"
Find the smallest integer in the array,dukeofgarda,8 kyu,"Jul 12, 2015",543,151,117651,7045,195846,84304,"13,900",84,9608,7058,2039,511,,,,,Fundamentals
You Can't Code Under Pressure #1,Kerrick,8 kyu,"Aug 15, 2014",158,8,47741,1040,69896,41982,"13,499",75,3924,2542,834,548,16.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Numbers, Integers"
Grasshopper - Personalized Message,danleavitt0,8 kyu,"Jul 12, 2016",126,40,31475,755,50179,22439,"10,034",87,2702,2095,504,103,8.0,8 kyu,8 kyu,8 kyu,"Fundamentals, Conditional, Statements, Control, Flow, Basic, Language, Features"
Write out expression!,Caders,7 kyu,"Sep 21, 2016",22,13,2009,118,5705,981,766,83,264,190,56,18,113.0,6 kyu,1 kyu,8 kyu,"Fundamentals, Basic, Language, Features"
Birthday II - Presents,PG1,7 kyu,"Oct 18, 2016",12,8,1241,13,1968,449,190,77,132,88,27,17,9.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Arrays, Objects"
Birthday I - Cake,PG1,7 kyu,"Oct 18, 2016",33,16,7548,107,65187,5111,"4,464",75,432,282,88,62,11.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Arrays, Mathematics, Algorithms, Numbers"
Hells Kitchen,PG1,7 kyu,"Sep 8, 2016",28,18,3545,45,5918,2205,"1,066",90,396,329,57,10,8.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings, Arrays"
Vowels Back,PG1,6 kyu,"Sep 7, 2016",60,15,2771,58,4566,914,373,85,220,165,46,9,12.0,6 kyu,6 kyu,8 kyu,"Algorithms, Fundamentals, Strings, Arrays, Loops, Control, Flow, Basic, Language, Features"
Sort and Transform,PG1,7 kyu,"Sep 4, 2016",30,8,2807,55,4173,1012,443,85,232,177,41,14,17.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Booleans, Strings, Numbers, Arrays"
Move 10,PG1,7 kyu,"Sep 7, 2016",44,12,4073,70,6225,2150,968,91,414,346,58,10,10.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Strings, Arrays"
Alan Partridge III - London,PG1,7 kyu,"Oct 21, 2016",12,4,1346,35,3921,854,289,82,242,175,48,19,9.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Arrays, Strings"
Perimeter of squares in a rectangle,g964,5 kyu,"Jul 6, 2015",620,131,43736,10976,82260,20550,734,86,2290,1718,496,76,,,,,"Algorithms, Mathematics, Numbers"
Binomial Expansion,TheDoctor,3 kyu,"Jan 1, 2015",325,79,6672,1991,23082,2032,449,95,389,355,31,3,8.0,3 kyu,2 kyu,6 kyu,"Algorithms, Mathematics, Numbers, Algebra"
Path Finder #1: can you reach the exit?,evk,4 kyu,"Jun 18, 2016",787,162,18254,4675,49629,3906,"1,052",95,836,769,55,12,8.0,4 kyu,4 kyu,6 kyu,Algorithms
Target Date,g964,7 kyu,"Jan 10, 2016",115,19,7067,709,8723,1695,260,79,341,239,61,41,,,,,Fundamentals
Sort and Star,PG1,8 kyu,"Sep 7, 2016",214,82,25150,924,53771,14721,"5,992",91,2156,1814,291,51,15.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings, Arrays"
Is there a vowel in there?,PG1,8 kyu,"Sep 7, 2016",105,48,10549,243,18564,5595,"2,370",90,942,787,126,29,11.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings, Arrays"
"101 Dalmatians - squash the bugs, not the dogs!",PG1,8 kyu,"Mar 26, 2016",119,21,19255,319,48306,12304,"4,741",80,2018,1394,431,193,,,,,Bugs
Squash the bugs,PG1,8 kyu,"Mar 26, 2016",135,48,23813,528,48548,15693,"6,834",89,2138,1717,374,47,,,,,"Bugs, Fundamentals"
You only need one - Beginner,PG1,8 kyu,"Sep 4, 2016",224,79,39823,1270,69987,29993,"13,215",90,3834,3152,585,97,162.0,7 kyu,1 kyu,8 kyu,"Fundamentals, Booleans, Strings, Numbers, Arrays"
Sum Mixed Array,PG1,8 kyu,"Sep 27, 2016",208,77,32589,711,61391,23813,"10,276",92,2892,2469,373,50,9.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings, Numbers, Arrays"
Is this my tail?,PG1,8 kyu,"Mar 26, 2016",82,45,17298,315,36635,12706,"5,275",87,1760,1373,333,54,,,,,Bugs
Coding Meetup #11 - Higher-Order Functions Series - Find the average age,PiotrBerebecki,7 kyu,"Nov 16, 2016",26,23,2176,17,6806,1863,"1,649",93,372,326,43,3,10.0,7 kyu,6 kyu,8 kyu,"Algorithms, Higher, Functions, Functions, Control, Flow, Basic, Language, Features, Fundamentals, Functional, Programming, Declarative, Programming, Data, Structures, Arrays, Objects, Strings"
Coding Meetup #8 - Higher-Order Functions Series - Will all continents be represented?,PiotrBerebecki,6 kyu,"Nov 14, 2016",44,28,2587,89,8016,2006,"1,605",93,393,343,43,7,8.0,6 kyu,6 kyu,7 kyu,"Algorithms, Higher, Functions, Functions, Control, Flow, Basic, Language, Features, Fundamentals, Functional, Programming, Declarative, Programming, Data, Structures, Arrays, Objects, Strings"
Coding Meetup #7 - Higher-Order Functions Series - Find the most senior developer,PiotrBerebecki,6 kyu,"Nov 13, 2016",32,28,2464,45,8819,1888,"1,633",95,350,322,23,5,8.0,6 kyu,6 kyu,8 kyu,"Algorithms, Higher, Functions, Functions, Control, Flow, Basic, Language, Features, Fundamentals, Functional, Programming, Declarative, Programming, Data, Structures, Arrays, Objects, Strings"
Fake Binary,PG1,8 kyu,"Sep 27, 2016",392,146,49268,2416,110171,32285,"12,581",91,3913,3251,592,70,8.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings, Arrays"
My head is at the wrong end!,PG1,8 kyu,"Mar 26, 2016",169,47,29865,699,43348,20141,"8,578",83,2546,1849,508,189,,,,,"Algorithms, Arrays, Lists, Data, Structures"
Easy Diagonal,g964,6 kyu,"Jul 7, 2015",204,41,10012,2722,15088,1568,34,89,334,280,35,19,,,,,Fundamentals
Easy Line,g964,7 kyu,"Mar 15, 2016",176,31,10033,1087,13756,2027,36,82,371,256,88,27,,,,,"Fundamentals, Mathematics, Algorithms, Numbers"
Drying Potatoes,g964,7 kyu,"Mar 19, 2017",235,42,22498,2123,49778,6892,142,66,1116,595,287,234,17.0,7 kyu,4 kyu,8 kyu,"Fundamentals, Puzzles, Games"
Matching And Substituting,g964,5 kyu,"Oct 11, 2017",114,17,5578,921,19148,1343,23,71,261,147,78,36,3.0,5 kyu,5 kyu,6 kyu,Fundamentals
Get Nth Even Number,kodejuice,8 kyu,"Jun 5, 2017",116,46,18881,250,27716,14065,"3,994",86,2041,1574,374,93,111.0,7 kyu,4 kyu,8 kyu,"Puzzles, Mathematics, Algorithms, Numbers, Games"
Checkerboard Resolution,Kacarott,6 kyu,"Mar 21, 2021",14,1,209,3,204,36,36,97,16,15,1,0,4.0,6 kyu,6 kyu,8 kyu,"Algorithms, Numbers, Algebra, Mathematics"
What is between?,Hiciorman,8 kyu,"Sep 7, 2015",83,22,12286,165,20886,9651,"1,305",90,1271,1042,194,35,,,,,"Fundamentals, Algorithms"
[Code Golf] Leyland Numbers,anter69,6 kyu,"Feb 9, 2021",8,0,212,5,1456,39,35,75,22,13,7,2,11.0,6 kyu,6 kyu,8 kyu,Puzzles
Generate All Possible Matches,eladkap,6 kyu,"Mar 21, 2021",14,4,231,3,223,63,63,83,26,19,5,2,10.0,5 kyu,5 kyu,7 kyu,"Fundamentals, Recursion, Algorithms, Computability, Theory, Theoretical, Computer, Science"
DNA to RNA Conversion,torret,8 kyu,"May 15, 2015",270,77,43019,2075,71010,30152,"8,178",89,3517,2857,572,88,,,,,"Fundamentals, Strings"
Opposites Attract,jbarget,8 kyu,"May 11, 2015",116,34,23812,591,47002,19356,"7,606",92,2289,1949,305,35,,,,,Fundamentals
Transportation on vacation ,Milford,8 kyu,"Jan 6, 2016",143,34,31718,1281,59614,25675,"1,166",90,2756,2246,454,56,,,,,Fundamentals
It is written in the stars,St3f4n,7 kyu,"Jan 25, 2017",22,3,3204,22,13125,2081,"1,941",72,148,90,33,25,9.0,7 kyu,7 kyu,8 kyu,"Puzzles, Dates, Time"
